latitude,longitude
37.7644,-122.4663
37.7636,-122.4801
37.7656,-122.4664
37.7473,-122.4114
37.7605,-122.5091
37.7538,-122.4914
37.7692,-122.427
37.7626,-122.5006
37.764,-122.502
37.7634,-122.4798
37.773,-122.4391
37.7357,-122.5066
37.7642,-122.5102
37.7718,-122.4596
37.7419,-122.504
37.7742,-122.4239
37.7642,-122.4674
37.7742,-122.4238
37.7567,-122.509
37.7543,-122.484
37.7903,-122.4358
37.7567,-122.5087
37.7663,-122.4311
37.7568,-122.502
37.772,-122.4535
37.7622,-122.5095
37.7636,-122.4641
37.783,-122.4635
37.7642,-122.4674
37.7509,-122.4275
37.7759,-122.4378
37.7826,-122.4074
37.7626,-122.4961
37.7561,-122.4786
37.7636,-122.4641
37.7603,-122.5039
37.7606,-122.5044
37.7534,-122.4978
37.773,-122.4394
37.7692,-122.427
37.7623,-122.5093
37.7722,-122.4959
37.7642,-122.4707
37.7419,-122.5069
37.7265,-122.4761
37.7636,-122.48
37.802,-122.4018
37.7742,-122.4239
37.7417,-122.5035
37.775,-122.4854
37.7593,-122.4215
37.7625,-122.4984
37.7621,-122.5094
37.7626,-122.5005
37.7641,-122.4706
37.7538,-122.4893
37.7587,-122.5012
37.7342,-122.4919
37.7527,-122.5084
37.7731,-122.4391
37.7774,-122.4995
37.7786,-122.4586
37.7699,-122.4292
37.7765,-122.4177
37.7506,-122.4337
37.7565,-122.509
37.7635,-122.4835
37.7641,-122.4707
37.7735,-122.5025
37.7536,-122.4991
37.7589,-122.4975
37.7622,-122.5094
37.7664,-122.511
37.7617,-122.4791
37.7633,-122.4794
37.7527,-122.5085
37.7475,-122.5017
37.7425,-122.4903
37.7734,-122.4443
37.738,-122.4894
37.7589,-122.4994
37.7734,-122.4273
37.7597,-122.4781
37.7707,-122.4485
37.7752,-122.465
37.7773,-122.4345
37.7564,-122.5088
37.7698,-122.4535
37.7532,-122.5054
37.772,-122.4537
37.7873,-122.4133
37.7668,-122.4494
37.7418,-122.5071
37.7719,-122.4537
37.7531,-122.5052
37.7419,-122.5069
37.7538,-122.4827
37.7642,-122.4674
37.7498,-122.4911
37.7603,-122.5049
37.7632,-122.4856
37.7591,-122.4214
37.7651,-122.4843
37.7733,-122.5101
37.7807,-122.5101
37.7581,-122.4761
37.7811,-122.4473
37.7427,-122.4826
37.7603,-122.5058
37.7613,-122.426
37.7606,-122.5043
37.7629,-122.4878
37.7751,-122.4683
37.7728,-122.4478
37.7804,-122.4728
37.762,-122.5095
37.7632,-122.4856
37.7632,-122.4855
37.7357,-122.5062
37.7872,-122.4246
37.7761,-122.4103
37.7659,-122.4493
37.7507,-122.4691
37.7339,-122.4903
37.7425,-122.4902
37.7523,-122.476
37.7568,-122.5023
37.7742,-122.4584
37.7731,-122.4392
37.7819,-122.4828
37.7666,-122.4666
37.7831,-122.4475
37.7831,-122.5091
37.7638,-122.5051
37.79,-122.4235
37.7692,-122.4349
37.7642,-122.4674
37.7634,-122.483
37.7521,-122.4332
37.7807,-122.4505
37.764,-122.4783
37.7529,-122.5046
37.738,-122.5041
37.759,-122.4649
37.7613,-122.4865
37.7614,-122.4869
37.7538,-122.4889
37.767,-122.4532
37.7791,-122.5028
37.7863,-122.4669
37.76,-122.5095
37.7639,-122.5097
37.7811,-122.4473
37.7663,-122.4545
37.7283,-122.4764
37.7894,-122.4015
37.7626,-122.4974
37.772,-122.3902
37.7778,-122.4387
37.7609,-122.4983
37.7609,-122.4922
37.7719,-122.4537
37.7774,-122.4421
37.773,-122.5091
37.7641,-122.4707
37.7655,-122.4674
37.7634,-122.4839
37.7586,-122.4833
37.7625,-122.5037
37.7604,-122.5042
37.7642,-122.4674
37.7641,-122.4707
37.7644,-122.4643
37.7631,-122.4231
37.7874,-122.4168
37.7807,-122.4506
37.7695,-122.4469
37.7735,-122.4713
37.7719,-122.4338
37.7631,-122.485
37.7637,-122.5009
37.7704,-122.4644
37.7537,-122.4857
37.7474,-122.4115
37.7642,-122.4644
37.7733,-122.4712
37.7641,-122.4707
37.7835,-122.4328
37.7753,-122.4581
37.7635,-122.4836
37.7658,-122.4576
37.7636,-122.4641
37.7492,-122.5074
37.7568,-122.5023
37.7519,-122.4861
37.7807,-122.4505
37.7816,-122.4588
37.7725,-122.4844
37.7824,-122.4654
37.7742,-122.4239
37.7518,-122.4265
37.7697,-122.4578
37.7622,-122.5062
37.7753,-122.4581
37.7438,-122.5019
37.7553,-122.4916
37.7555,-122.5077
37.7469,-122.399
37.7614,-122.4865
37.7748,-122.4466
37.7636,-122.4641
37.7817,-122.4929
