start_lat,start_lng
37.7692,-122.4209
37.8023,-122.4244
37.7667,-122.3961
37.7744,-122.4095
37.8027,-122.4433
37.8023,-122.4244
37.8045,-122.4335
37.7902,-122.4017
37.7854,-122.4317
37.7666,-122.4333
37.7669,-122.3908
37.7404,-122.4068
37.7695,-122.4745
37.7362,-122.3898
37.7753,-122.4361
37.7473,-122.4113
37.7404,-122.4224
37.7804,-122.4776
37.7418,-122.5068
37.7734,-122.4442
37.7882,-122.4205
37.7736,-122.4713
37.7767,-122.4332
37.788,-122.4219
37.7885,-122.4354
37.7734,-122.4442
37.7591,-122.4649
37.7635,-122.4813
37.8023,-122.4244
37.7873,-122.3881
37.7838,-122.4206
37.7945,-122.3949
37.3112,-121.8686
37.3434,-121.8901
37.7964,-122.4168
37.3095,-121.8608
37.3354,-121.8873
37.3596,-121.8783
37.7885,-122.4083
37.3495,-121.8877
37.7693,-122.4269
37.7972,-122.3984
37.7945,-122.3948
37.3184,-121.8734
37.7228,-122.4329
37.7874,-122.3984
37.7616,-122.3909
37.3354,-121.8873
37.7704,-122.3913
37.7848,-122.4196
37.7819,-122.3963
37.7802,-122.4445
37.3601,-121.8789
37.3507,-121.8968
37.7606,-122.4148
37.7638,-122.4571
37.7819,-122.3963
37.7918,-122.4188
37.7672,-122.4061
37.7671,-122.4074
37.7671,-122.4075
37.7603,-122.5063
37.777,-122.4172
37.7604,-122.5063
37.3419,-121.9091
37.7778,-122.4046
37.7643,-122.4228
37.3275,-121.8621
37.3301,-121.8609
37.7808,-122.4092
37.321,-121.8764
37.7539,-122.418
37.7872,-122.4135
37.7734,-122.4442
37.8047,-122.4219
37.7715,-122.509
37.7689,-122.4279
37.7719,-122.4538
37.7742,-122.4238
37.7592,-122.4369
37.7731,-122.472
37.3302,-121.861
37.7808,-122.3948
37.7817,-122.4153
37.2976,-121.8698
37.3641,-121.9118
37.7757,-122.4747
37.3023,-121.8685
37.766,-122.3909
37.3347,-121.9088
37.7729,-122.5091
37.7854,-122.4317
37.7789,-122.4182
37.773,-122.4097
37.7977,-122.446
37.7979,-122.4059
37.7515,-122.4309
37.7869,-122.4021
37.7849,-122.4194
37.7692,-122.427
37.7809,-122.3949
37.7828,-122.4431
37.7666,-122.4384
37.7666,-122.4384
37.7804,-122.4185
37.7513,-122.4338
37.7774,-122.4421
37.7592,-122.41
37.7769,-122.4174
37.7991,-122.4024
37.7808,-122.3949
37.7767,-122.3953
37.7928,-122.4212
37.3601,-121.8788
37.7961,-122.4056
37.7924,-122.404
37.7855,-122.4194
37.7393,-122.424
37.7947,-122.4065
37.7822,-122.3917
37.7885,-122.4216
37.7468,-122.4189
37.7885,-122.4216
37.7946,-122.4066
37.7929,-122.4082
37.7714,-122.401
37.7887,-122.4216
37.7715,-122.4058
37.7846,-122.4161
37.7868,-122.4198
37.8028,-122.4133
37.7887,-122.4216
37.7597,-122.4781
37.765,-122.42
37.7762,-122.4382
37.7869,-122.4195
37.7947,-122.4064
37.77,-122.4843
37.7961,-122.4056
37.7582,-122.426
37.7882,-122.4219
37.7701,-122.4119
37.7856,-122.4367
37.7982,-122.4088
37.7776,-122.4331
37.7992,-122.4342
37.7629,-122.4353
37.7761,-122.4458
37.7582,-122.4261
37.7885,-122.4354
37.7363,-122.3898
37.765,-122.4322
37.7706,-122.3916
37.7856,-122.4194
37.7961,-122.4057
37.7777,-122.413
37.7886,-122.4214
37.7952,-122.4049
37.7884,-122.4354
37.7838,-122.4083
37.7825,-122.4424
37.7842,-122.4191
37.7844,-122.4175
37.7706,-122.4183
37.77,-122.408
37.7671,-122.4155
37.7734,-122.4085
37.7701,-122.4118
37.7671,-122.4154
37.7701,-122.408
37.3382,-121.8891
37.786,-122.4191
37.7997,-122.4025
37.7725,-122.3872
37.3176,-121.8843
37.3106,-121.878
37.772,-122.4338
37.3128,-121.8818
37.3305,-121.8565
37.3105,-121.878
37.3304,-121.8603
37.7473,-122.4114
37.7872,-122.4133
37.7671,-122.4155
37.7669,-122.4149
37.3456,-121.8834
37.345,-121.8969
37.7567,-122.4212
37.771,-122.4081
37.77,-122.408
37.7703,-122.4155
37.7705,-122.4065
37.7671,-122.4154
37.7716,-122.4416
37.7671,-122.4145
37.7254,-122.394
37.7725,-122.4162
37.7378,-122.4515
37.7703,-122.4154
37.309,-121.9
37.7649,-122.4075
37.7639,-122.4186
37.7698,-122.4082
37.7664,-122.4094
37.343,-121.8845
37.3401,-121.8879
37.77,-122.4081
37.7669,-122.4151
37.7774,-122.442
37.7605,-122.3914
37.7617,-122.3909
37.772,-122.4304
37.7658,-122.4576
37.7671,-122.4155
37.7699,-122.4156
37.7602,-122.5095
37.324,-121.9234
37.7885,-122.4354
37.7551,-122.421
37.8065,-122.4688
37.7992,-122.4341
37.7844,-122.4393
37.7634,-122.4074
37.7506,-122.4208
37.77,-122.4081
37.7671,-122.4153
37.7711,-122.4075
37.7699,-122.4083
37.7703,-122.4155
37.7719,-122.4337
37.7551,-122.4211
37.7876,-122.4167
37.3109,-121.8783
37.7772,-122.4986
37.7644,-122.4026
37.7709,-122.4089
37.7701,-122.408
37.3427,-121.8759
37.3107,-121.878
37.7472,-122.4595
37.77,-122.408
37.767,-122.4156
37.7774,-122.442
37.7525,-122.4206
37.7979,-122.4059
37.7719,-122.4337
37.7384,-122.4978
37.7885,-122.4354
37.77,-122.408
37.7671,-122.4154
37.7552,-122.421
37.7759,-122.4027
37.3401,-121.8879
37.7839,-122.3987
37.7734,-122.4853
37.7865,-122.44
37.7954,-122.4049
37.3515,-121.8892
37.7741,-122.4238
37.7851,-122.4776
37.3374,-121.887
37.3597,-121.8785
37.767,-122.3909
37.7855,-122.4232
37.7855,-122.4197
37.3326,-121.8802
37.7818,-122.4186
37.3578,-121.8821
37.7459,-122.4221
37.7945,-122.3949
37.7871,-122.4133
37.7228,-122.4329
37.7704,-122.3912
37.7779,-122.423
37.7518,-122.4054
37.7759,-122.3932
37.7647,-122.4589
37.7975,-122.4018
37.773,-122.5091
37.3093,-121.8605
37.7261,-122.4157
37.7637,-122.4155
37.751,-122.412
37.751,-122.4121
37.7731,-122.4428
37.7292,-122.3931
37.3773,-121.893
37.3412,-121.9033
37.3772,-121.8931
37.3525,-121.9055
37.7703,-122.3912
37.7228,-122.4329
37.3371,-121.8832
37.3329,-121.9115
37.794,-122.4218
37.3318,-121.906
37.7855,-122.4217
37.7951,-122.4219
37.3339,-121.9089
37.7672,-122.4155
37.7885,-122.4084
37.8028,-122.4133
37.8054,-122.4224
37.7833,-122.4311
37.7762,-122.4229
37.8067,-122.4105
37.7554,-122.3888
