latitude,longitude
37.7644,-122.4663
37.7623,-122.507
37.7644,-122.4663
37.7641,-122.4706
37.7605,-122.5092
37.7498,-122.4935
37.764,-122.466
37.764,-122.502
37.764,-122.5019
37.7634,-122.4797
37.7641,-122.4674
37.7566,-122.5092
37.7568,-122.5026
37.7641,-122.4657
37.744,-122.4982
37.7625,-122.5071
37.7642,-122.4674
37.7625,-122.5071
37.753,-122.5085
37.7541,-122.4829
37.7641,-122.4674
37.7568,-122.5023
37.7566,-122.5088
37.7632,-122.4844
37.7603,-122.5093
37.7608,-122.4888
37.7636,-122.4642
37.7524,-122.4733
37.7642,-122.4674
37.7527,-122.5089
37.7599,-122.5091
37.7581,-122.467
37.7567,-122.5088
37.7626,-122.4961
37.7605,-122.5056
37.7475,-122.5017
37.7636,-122.4641
37.7478,-122.4976
37.7548,-122.5087
37.7637,-122.4777
37.7642,-122.4675
37.7638,-122.5093
37.7602,-122.509
37.7439,-122.498
37.7605,-122.5071
37.7636,-122.4801
37.7637,-122.4733
37.7634,-122.4838
37.7531,-122.5046
37.7604,-122.509
37.7636,-122.4775
37.7629,-122.4662
37.7626,-122.5006
37.7627,-122.4986
37.7642,-122.4674
37.757,-122.5015
37.7539,-122.4893
37.7636,-122.4777
37.7527,-122.5084
37.7636,-122.5084
37.7436,-122.5071
37.7635,-122.4641
37.7623,-122.507
37.7646,-122.4763
37.7604,-122.4661
37.7635,-122.4837
37.7565,-122.509
37.7641,-122.4706
37.7536,-122.4991
37.7533,-122.5075
37.7542,-122.4745
37.7642,-122.4673
37.7641,-122.4707
37.7633,-122.4794
37.7633,-122.4794
37.7527,-122.5085
37.7526,-122.5055
37.7424,-122.4904
37.7468,-122.4746
37.7436,-122.5071
37.756,-122.4776
37.7636,-122.4789
37.7614,-122.4823
37.7597,-122.4781
37.7642,-122.4674
37.7563,-122.5088
37.7531,-122.5046
37.7636,-122.4641
37.7532,-122.5054
37.7532,-122.5054
37.7642,-122.4664
37.764,-122.5052
37.7431,-122.4766
37.7605,-122.508
37.753,-122.5051
37.7539,-122.4827
37.7531,-122.5052
37.7542,-122.4829
37.7425,-122.4902
37.7625,-122.4823
37.7595,-122.4823
37.7636,-122.4641
37.7632,-122.4853
37.7634,-122.4808
37.7643,-122.5008
37.7596,-122.509
37.7604,-122.4973
37.7631,-122.4855
37.7603,-122.5058
37.7593,-122.4635
37.7606,-122.5044
37.7632,-122.4852
37.7633,-122.4813
37.7464,-122.4642
37.7612,-122.4896
37.7607,-122.5039
37.7632,-122.4855
37.7632,-122.4855
37.7532,-122.5054
37.7626,-122.5071
37.7495,-122.5008
37.7642,-122.4674
37.7531,-122.4905
37.7518,-122.487
37.7433,-122.4738
37.7542,-122.4813
37.7605,-122.5044
37.7605,-122.5082
37.7529,-122.505
37.7638,-122.5093
37.7642,-122.4674
37.7585,-122.4662
37.7638,-122.5051
37.7638,-122.5051
37.7613,-122.4865
37.7641,-122.4708
37.7604,-122.4665
37.7573,-122.4898
37.7633,-122.4833
37.762,-122.5071
37.7626,-122.5071
37.7558,-122.4872
37.7436,-122.507
37.7606,-122.464
37.7613,-122.4865
37.7614,-122.4865
37.7534,-122.4978
37.7633,-122.4661
37.7635,-122.5009
37.7636,-122.4641
37.743,-122.4791
37.748,-122.4878
37.7626,-122.5003
37.7603,-122.5059
37.7541,-122.4777
37.7636,-122.4789
37.7626,-122.5006
37.7642,-122.4674
37.7644,-122.4784
37.7611,-122.4931
37.7609,-122.4922
37.7587,-122.5012
37.7635,-122.478
37.7608,-122.4983
37.7641,-122.4707
37.7633,-122.484
37.764,-122.4668
37.7625,-122.5037
37.7575,-122.4858
37.7604,-122.5042
37.7604,-122.5041
37.7641,-122.4707
37.764,-122.4656
37.7642,-122.4637
37.7636,-122.4786
37.7534,-122.4973
37.7566,-122.5088
37.7604,-122.5055
37.7636,-122.4641
37.7626,-122.4985
37.7631,-122.4853
37.7639,-122.4663
37.7539,-122.4838
37.763,-122.4845
37.7605,-122.4661
37.7641,-122.4707
37.7641,-122.4707
37.7523,-122.476
37.7642,-122.4707
37.7643,-122.5008
37.764,-122.4707
37.7636,-122.4641
37.7529,-122.5051
37.7568,-122.5023
37.7528,-122.5059
37.7568,-122.5023
37.7504,-122.4769
37.7529,-122.5051
37.7526,-122.4732
37.7623,-122.5068
37.7636,-122.4642
37.7635,-122.4641
37.7605,-122.5056
37.7623,-122.5069
37.7634,-122.4789
37.7553,-122.4917
37.7528,-122.5089
37.7614,-122.4865
37.7534,-122.4916
37.7635,-122.4641
37.7636,-122.4642
37.7609,-122.505
37.7636,-122.4641
37.7588,-122.4975
37.7606,-122.5044
37.7535,-122.4978
37.7604,-122.5054
37.7604,-122.5083
37.7641,-122.4707
37.7642,-122.4657
37.7528,-122.5055
37.764,-122.4661
37.7631,-122.4836
37.7643,-122.4673
37.7548,-122.5078
37.7601,-122.4735
37.7455,-122.5072
37.7609,-122.505
37.7635,-122.4696
37.7645,-122.4959
37.7636,-122.4641
37.7642,-122.4655
37.7641,-122.4655
37.7632,-122.4854
37.7444,-122.4853
37.7632,-122.4853
37.7641,-122.4707
37.754,-122.4841
37.7531,-122.5049
37.7585,-122.4637
37.7646,-122.4932
37.7458,-122.4965
37.7426,-122.4903
37.7641,-122.4654
37.7639,-122.5007
37.7462,-122.49
37.7426,-122.49
37.7426,-122.4897
37.7534,-122.4972
37.7604,-122.5055
37.7642,-122.4707
37.7643,-122.4674
37.7605,-122.4662
37.7435,-122.4736
37.7519,-122.4806
37.7642,-122.4656
37.7616,-122.4759
37.7529,-122.5046
37.7439,-122.5017
37.7532,-122.5053
37.7458,-122.4964
37.7456,-122.5008
37.7643,-122.4674
37.7474,-122.5018
37.7528,-122.5042
37.7641,-122.4664
37.7425,-122.4898
37.7642,-122.4674
37.762,-122.5072
37.7604,-122.5051
37.7584,-122.5088
37.7609,-122.4921
37.7636,-122.4775
37.7625,-122.4826
37.7637,-122.4641
37.7632,-122.4856
37.7549,-122.4646
37.7633,-122.4663
37.7591,-122.4649
37.7616,-122.5092
37.7623,-122.5067
37.7456,-122.5082
37.7634,-122.4641
37.7639,-122.4707
37.7606,-122.5044
