latitude,longitude
37.7646,-122.4526
37.7532,-122.4981
37.7654,-122.4665
37.7477,-122.4202
37.7756,-122.506
37.7767,-122.4174
37.7644,-122.4663
37.7636,-122.4801
37.7656,-122.4664
37.7614,-122.4267
37.7473,-122.4114
37.7605,-122.5091
37.7538,-122.4914
37.7757,-122.5028
37.7692,-122.427
37.7689,-122.4293
37.7856,-122.4852
37.7626,-122.5006
37.764,-122.502
37.7714,-122.4431
37.7634,-122.4798
37.7645,-122.4957
37.7417,-122.5035
37.7918,-122.4476
37.7851,-122.4776
37.7639,-122.4444
37.7634,-122.422
37.7659,-122.4575
37.7811,-122.4474
37.7818,-122.4474
37.773,-122.4391
37.8052,-122.4483
37.7357,-122.5066
37.7767,-122.4173
37.7642,-122.5102
37.7718,-122.4596
37.7605,-122.5055
37.7477,-122.4202
37.7419,-122.504
37.772,-122.4537
37.7742,-122.4239
37.7642,-122.4674
37.7742,-122.4238
37.7748,-122.4791
37.7748,-122.4791
37.7748,-122.4791
37.785,-122.4299
37.782,-122.4828
37.7567,-122.509
37.7639,-122.4631
37.7807,-122.4762
37.7727,-122.4803
37.7543,-122.484
37.7903,-122.4358
37.7768,-122.4566
37.7567,-122.5087
37.742,-122.5045
37.7663,-122.4311
37.7568,-122.502
37.772,-122.4535
37.7607,-122.4466
37.773,-122.4462
37.7774,-122.442
37.7643,-122.4026
37.7622,-122.5095
37.7636,-122.4641
37.7609,-122.4888
37.783,-122.4635
37.7642,-122.4674
37.7934,-122.4195
37.7509,-122.4275
37.7778,-122.4899
37.7759,-122.4378
37.782,-122.4858
37.7792,-122.4419
37.7325,-122.4838
37.7826,-122.4074
37.7614,-122.4208
37.766,-122.4493
37.7724,-122.4358
37.7773,-122.4419
37.7831,-122.5111
37.7425,-122.4902
37.7825,-122.472
37.7827,-122.4741
37.779,-122.4716
37.7671,-122.4666
37.7975,-122.433
37.7827,-122.4741
37.7614,-122.4267
37.7849,-122.4622
37.7626,-122.4961
37.7605,-122.4108
37.7561,-122.4786
37.773,-122.509
37.7852,-122.4647
37.7819,-122.4828
37.7803,-122.4729
37.7909,-122.4841
37.7729,-122.4798
37.7797,-122.4835
37.7724,-122.4224
37.7636,-122.4641
37.7639,-122.5095
37.7419,-122.5043
37.7603,-122.5039
37.7701,-122.4335
37.7726,-122.4852
37.7606,-122.5044
37.7866,-122.4534
37.7881,-122.4896
37.7534,-122.4978
37.773,-122.4394
37.7692,-122.427
