latitude,longitude
37.7532,-122.4981
37.7644,-122.4663
37.7636,-122.4801
37.764,-122.466
37.7605,-122.5091
37.7558,-122.4874
37.7538,-122.4914
37.7626,-122.5006
37.764,-122.502
37.7634,-122.4798
37.7645,-122.4957
37.7635,-122.4641
37.7605,-122.5055
37.7642,-122.4673
37.7625,-122.5071
37.7642,-122.4674
37.7624,-122.5071
37.7567,-122.509
37.7543,-122.484
37.7567,-122.5087
37.7568,-122.5023
37.7568,-122.502
37.7528,-122.5089
37.7627,-122.5006
37.7636,-122.4641
37.7437,-122.507
37.7609,-122.4888
37.7642,-122.4674
37.7425,-122.4902
37.7605,-122.5059
37.7626,-122.4961
37.7561,-122.4786
37.7636,-122.4641
37.7603,-122.5039
37.7606,-122.5044
37.7534,-122.4978
37.7534,-122.4978
37.7623,-122.5093
37.7638,-122.5093
37.7591,-122.465
37.7642,-122.4707
37.7437,-122.4641
37.7636,-122.48
37.7636,-122.4776
37.7622,-122.5062
37.7567,-122.5088
37.7641,-122.4707
37.7643,-122.5009
37.7497,-122.4933
37.7625,-122.4984
37.7626,-122.5005
37.7641,-122.4706
37.7538,-122.4893
37.7587,-122.5012
37.7527,-122.5084
37.757,-122.5024
37.7637,-122.4641
37.7623,-122.507
37.764,-122.4707
37.7565,-122.509
37.7642,-122.4673
37.764,-122.4706
37.7529,-122.5079
37.7635,-122.4835
37.7641,-122.4707
37.7533,-122.5075
37.7536,-122.4991
37.7589,-122.4975
37.7617,-122.4791
37.7633,-122.4794
37.7527,-122.5085
37.7636,-122.5084
37.7635,-122.4641
37.7475,-122.5017
37.7425,-122.4903
37.7641,-122.4707
37.7642,-122.4674
37.7642,-122.4674
37.7589,-122.4994
37.7597,-122.4781
37.7579,-122.466
37.7605,-122.4964
37.7603,-122.4747
37.7531,-122.5046
37.7564,-122.5088
37.7642,-122.4674
37.7636,-122.4641
37.7532,-122.5053
37.7532,-122.5054
37.7642,-122.4664
37.7529,-122.5084
37.7531,-122.5052
37.7525,-122.5075
37.7538,-122.4827
37.7642,-122.4674
37.7498,-122.4911
37.7641,-122.4708
37.7603,-122.5049
37.7625,-122.4661
37.7632,-122.4856
37.7596,-122.5081
37.7635,-122.4784
37.7529,-122.5057
37.7581,-122.4761
37.7602,-122.4975
37.7611,-122.4913
37.7427,-122.4826
37.7603,-122.5058
37.7642,-122.4655
37.7606,-122.5043
37.7629,-122.4878
37.7464,-122.4642
37.7632,-122.4856
37.7632,-122.4855
37.7604,-122.5082
37.7622,-122.5068
37.7626,-122.4961
37.7639,-122.4665
37.7507,-122.4691
37.7491,-122.4677
37.7531,-122.4905
37.7433,-122.4738
37.7425,-122.4902
37.7523,-122.476
37.7568,-122.5023
37.7631,-122.4852
37.7613,-122.4781
37.7595,-122.466
37.7548,-122.5078
37.7638,-122.5051
37.7642,-122.4707
37.7642,-122.4674
37.7646,-122.4956
37.7634,-122.483
37.7637,-122.477
37.764,-122.4783
37.7529,-122.5046
37.7564,-122.5088
37.759,-122.4649
37.7613,-122.4865
37.7614,-122.4869
37.7538,-122.4889
37.7635,-122.5009
37.7636,-122.4641
37.7636,-122.4642
37.746,-122.4964
37.7645,-122.4783
37.7626,-122.4974
37.7634,-122.4801
37.7609,-122.4983
37.7637,-122.4641
37.7609,-122.4922
37.7531,-122.5048
37.7612,-122.4932
37.7635,-122.478
37.7641,-122.4707
37.7634,-122.4839
37.7482,-122.4773
37.7586,-122.4833
37.7625,-122.5037
37.7604,-122.5042
37.7642,-122.4674
37.7641,-122.4707
37.764,-122.4656
37.7641,-122.4706
